,country,state,lat,lon
0,Poland,Kujawsko-Pomorskie,53.3220016,18.3392939
1,United States,Ohio,40.2253569,-82.6881395
2,France,Île-de-France,48.4002989,7.325679
3,United States,North Carolina,35.6729639,-79.0392919
4,United States,Colorado,38.7251776,-105.607716
5,United States,New York,40.7127281,-74.0060152
6,Viet Nam,,46.3144754,11.0480288
7,United States,Arizona,34.395342,-111.763275
8,United States,Alabama,33.2588817,-86.8295337
9,Australia,Queensland,-22.1646782,144.5844903
10,Brazil,São Paulo,40.6542602,-7.9144613
11,United States,Massachusetts,42.3788774,-72.032366
12,New Zealand,Auckland,-36.852095,174.7631803
13,United States,West Virginia,38.4758406,-80.8408415
14,United States,California,36.7014631,-118.755997
15,Canada,British Columbia,55.001251,-125.002441
16,United States,Illinois,40.0796606,-89.4337288
17,United States,Nevada,39.5158825,-116.8537227
18,Bulgaria,Sofia-Capital,-34.5855384,-58.4820671
19,Spain,Catalonia,41.8523094,1.5745043
20,United States,Oregon,43.9792797,-120.737257
21,United States,Washington,38.8950368,-77.0365427
22,Sweden,Västra Götaland,,
23,India,Delhi,28.6517178,77.2219388
24,United States,New Jersey,40.0757384,-74.4041622
25,United States,Texas,31.168570000000003,-99.68300099546674
26,China,Guangdong,23.1357694,113.1982688
27,Canada,Quebec,52.4760892,-71.8258668
28,Australia,Western Australia,-25.2303005,121.0187246
29,United Kingdom,England,52.5310214,-1.2649062
30,India,Karnataka,14.5203896,75.7223521
31,Germany,Bavaria,48.9467562,11.4038717
32,Australia,Victoria,-36.5986096,144.6780052
33,United States,Iowa,41.9216734,-93.3122705
34,Canada,Ontario,50.000678,-86.000977
35,United States,Georgia,32.3293809,-83.1137366
36,United States,"Washington, D.C.",38.8950368,-77.0365427
37,United States,Wisconsin,44.4308975,-89.6884637
38,Germany,Hesse,50.6080651,9.0284647
39,India,Tamil Nadu,10.9094334,78.3665347
40,Colombia,Antioquia,7.0000085,-75.5000086
41,Hong Kong,Central and Western,22.2818286,114.1582784
42,India,Kerala,10.3528744,76.5120396
43,Philippines,Davao,7.0645451,125.6084371
44,United States,Florida,27.7567667,-81.4639835
45,Croatia,City of Zagreb,45.791544200000004,15.971448808267374
46,Peru,Lima,-12.0621065,-77.0365256
47,United States,Virginia,37.1232245,-78.4927721
48,Germany,Baden-Württemberg,,
49,Finland,Uusimaa,60.2246684,25.12726308225769
50,Norway,Vestland,60.9291011,6.107886941976156
51,Japan,Tokyo,35.6828387,139.7594549
52,Germany,North Rhine-Westphalia,51.4789205,7.5543751
53,Brazil,Rio Grande do Sul,-29.8425284,-53.7680577
54,Israel,Tel Aviv,32.0852997,34.7818064
55,Sweden,Västmanland,,
56,Australia,South Australia,-30.5343665,135.6301212
57,United States,Pennsylvania,40.9699889,-77.7278831
58,Estonia,Harjumaa,59.4090892,24.73689671734141
59,Spain,Madrid,40.4167047,-3.7035825
60,United States,Utah,39.4225192,-111.714358
61,United States,Missouri,38.7604815,-92.5617875
62,Finland,Paijat-Hame,61.2297202,25.810550681272005
63,Sweden,Kronoberg,56.80067805,14.411160995108743
64,Netherlands,Overijssel,52.4254143,6.4610611
65,United Kingdom,Scotland,56.7861112,-4.1140518
66,Chile,Valparaíso,25.6679516,-100.254382
67,Canada,Alberta,55.001251,-115.002136
68,Ireland,Leinster,53.11846495,-6.991818291829787
69,United States,Michigan,43.6211955,-84.6824346
70,Lithuania,Klaipėda County,,
71,Sweden,Uppsala,59.8586126,17.6387436
72,United States,Minnesota,45.9896587,-94.6113288
73,Slovakia,Bratislavský Kraj,,
74,Spain,Aragon,41.3787291,-0.7639373
75,Belgium,Brussels Capital,50.83879505,4.375304132256188
76,Poland,Lower Silesia,50.953797,15.9151828
77,United States,Arkansas,35.2048883,-92.4479108
78,China,Shanghai,31.2322758,121.4692071
79,Sweden,Värmland,,
80,India,Assam,26.4073841,93.2551303
81,Portugal,Coimbra,40.2111931,-8.4294632
82,Denmark,Central Jutland,56.23564835,9.234625027778005
83,China,Liaoning,40.9324168,122.24074788191257
84,United States,Maryland,39.5162234,-76.9382069
85,Switzerland,Geneva,46.2017559,6.1466014
86,Austria,Upper Austria,48.25,14.0
87,Mexico,Mexico City,19.4326296,-99.1331785
88,Romania,Cluj,46.769379,23.5899542
89,India,Maharashtra,18.9068356,75.6741579
90,Netherlands,South Holland,51.9966792,4.5597397
91,Japan,Miyagi,34.9803071,139.838919
92,United States,Kansas,38.27312,-98.5821872
93,Italy,Veneto,45.6476663,11.8665254
94,Germany,Berlin,52.5170365,13.3888599
95,Pakistan,Sindh,25.5,69.0
96,Canada,New Brunswick,46.500283,-66.750183
97,Turkey,Ankara,39.9207886,32.8540482
98,Bangladesh,Dhaka,23.7861979,90.4026151
99,United States,Tavush,40.972706349999996,45.1381515619545
100,United States,Idaho,43.6447642,-114.015407
101,North Macedonia,Grad Skopje,42.00396245,21.420395499999994
102,Canada,Northwest Territories,65.0000004,-118.0
103,United States,South Carolina,33.6874388,-80.4363743
104,Canada,Yukon,63.000147,-136.002502
105,United States,Tennessee,35.7730076,-86.2820081
106,Poland,Lesser Poland,49.790952,20.3793521
107,Singapore,SG.01,1.357107,103.8194992
108,United States,Carolina,35.90503535,-79.04775326525107
109,France,Nouvelle-Aquitaine,45.4039367,0.3756199
110,Brazil,Amazonas,-4.479925,-63.5185396
111,Italy,Lombardy,45.5703694,9.7732524
112,United States,Maine,45.709097,-68.8590201
113,Russian Federation,Moscow,55.7504461,37.6174943
114,Sweden,Stockholm,59.3251172,18.0710935
115,Hungary,Budapest,47.4979937,19.0403594
116,Netherlands,North Holland,52.7212825,4.820665
117,Switzerland,Zurich,47.3744489,8.5410422
118,United States,Oklahoma,34.9550817,-97.2684063
119,Mexico,Sonora,29.3333331,-110.6666671
120,Ukraine,Kyiv City,50.387643,30.4713298
121,Denmark,Zealand,55.545597900000004,11.697374095992934
122,Norway,Oslo,59.9133301,10.7389701
123,Italy,Latium,41.9808038,12.7662312
124,Romania,Timiş,-38.80989,175.12481
125,Saudi Arabia,Medina Region,25.1354363,39.162594
126,Switzerland,Vaud,46.6356963,6.5320717
